admin_seat_name,uniq_id,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
Жиганскъ,177,Жиганский уѣздѣ,Жиганский уезд,Zhiganskii uiezdie,Zhiganskii uezd,,,,,1785,1796,POINT,123.37418,66.76601,"Zhigansky District, Sakha Republic",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Зашиверскъ,179,Зашиверский уѣздѣ,Зашиверский уезд,Zashiverskii uiezdie,Zashiverskii uezd,,,,,1785,1796,POINT,142.61667,67.45,Sakha Republic,Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Охотскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Ижигинскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Акланскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Нижній Камчатскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Екатериноградъ,10,Кавказское Намѣстничество,Кавказское Наместничество,Kavkazskoe Namiestnichestvo,Kavkazskoe Namestnichestvo,,,,,1785,1796,POINT,48.036667,46.323611,"Astrakhan, Astrakhan Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Кизляръ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Моздокъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Георгіевскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Александровскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Ставрополь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Астраханъ,51,Астраханский уѣздѣ,Астраханский уезд,Astrakhanskii uiezdie,Astrakhanskii uezd,,,,,1785,1796,POINT,48.036667,46.323611,"Astrakhan, Astrakhan Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,10,
Енотаевскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Черноярскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Красноярскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Казань,11,Казанское Намѣстничество,Казанское Наместничество,Kazanskoe Namiestnichestvo,Kazanskoe Namestnichestvo,,,,,1785,1796,POINT,49.114444,55.790833,"Kazan, Tatarstan",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Казань,52,Казанский уѣздѣ,Казанский уезд,Kazanskii uiezdie,Kazanskii uezd,,,,,1785,1796,POINT,49.114444,55.790833,"Kazan, Tatarstan",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Лаишевъ,191,Лаишевский уѣздѣ,Лаишевский уезд,Laishevskii uiezdie,Laishevskii uezd,,,,,1785,1796,POINT,49.55037,55.40464,"Laishevo, Tatarstan",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Спаскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Чистополье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Мамадышъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Арскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Царевококшайскъ,212,Царевококшайский уѣздѣ,Царевококшайский уезд,Tsarevokokshaiskii uiezdie,Tsarevokokshaiskii uezd,,,,,1785,1796,POINT,47.89078,56.63877,"Yoshkar-Ola, Mari El",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Козьмодемьяанскъ,207,Козьмодемьянский уѣздѣ,Козьмодемьянский уезд,Koz'modem'ianskii uiezdie,Koz'modem'ianskii uezd,,,,,1785,1796,POINT,46.56353,56.3419,"Kozmodemyansk, Mari El",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Чебоксары,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Ядринъ,269,Ядринский уѣздѣ,Ядринский уезд,Iadrinskii uiezdie,Iadrinskii uezd,,,,,1785,1796,POINT,46.20622,55.94052,"Yadrin, Chuvashia Republic",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Цывильскъ,275,Цывильский уѣздѣ,Цывильский уезд,Tsyvil'skii uiezdie,Tsyvil'skii uezd,,,,,1785,1796,POINT,47.668387,55.737351,"Tsivilskiy rayon, Chuvashia Republic",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Тетюши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Свіажскъ,145,Свиажский уѣздѣ,Свиажский уезд,Sviazhskii uiezdie,Sviazhskii uezd,,,,,1785,1796,POINT,48.66051,55.77329,"Sviyazhsk, Tatarstan",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
Калуга,12,Калужское Намѣстничество,Калужское Наместничество,Kaluzhskoe Namiestnichestvo,Kaluzhskoe Namestnichestvo,,,,,1785,1796,POINT,36.266667,54.533333,"Kaluga, Kaluga Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Калуга,53,Калужский уѣздѣ,Калужский уезд,Kaluzhskii uiezdie,Kaluzhskii uezd,,,,,1785,1796,POINT,36.266667,54.533333,"Kaluga, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Козельскъ,115,Козельский уѣздѣ,Козельский уезд,Kozel'skii uiezdie,Kozel'skii uezd,,,,,1785,1796,POINT,35.77159,54.03746,"Kozelsk, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Перемышль,241,Перемышльский уѣздѣ,Перемышльский уезд,Peremyshl'skii uiezdie,Peremyshl'skii uezd,,,,,1785,1796,POINT,36.16063,54.26313,"Peremyshl, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Малой Ярославецъ,318,Малоярославецкий уѣздѣ,Малоярославецкий уезд,Maloiaroslavetskii uiezdie,Maloiaroslavetskii uezd,,,,,1785,1796,POINT,36.47185,55.01457,"Maloyaroslavets, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
