ID,title,reprLat,reprLong,reprType,geonamesType,provisional
84,Belgorod,50.61074,36.58015,GeoNames,PPL,0
80,Bushnrvo,,,,PPL,0
1014,Efremovskii uezd,53.14806,38.09924,seat,ADM2,0
224,Efremov,53.14806,38.09924,GeoNames,PPL,0
654,Stalerovchizna,,,,PPL,0
176,Gritchino,54.60417,38.10556,GeoNames,PPL,0
415,Machukha,49.52133,34.42964,GeoNames,PPL,0
895,Belozersk gorod,60.0288,37.8084,seat,ADM2,0
88,Belozerskoi Kirilov,,,,PPL,0
412,Maslenskaia,,,,PPL,0
887,Aleksinskii uezd,54.50503,37.0674,seat,ADM2,0
463,Naspishchi,54.68937,37.39369,GeoNames,PPL,0
850,Vologodskii uezd,59.2239,39.88398,seat,ADM2,0
675,Siamskoi,59.69274,39.2162,GeoNames,PPL,0
499,Orlik,,,,PPL,0
284,Kerensk,53.69157,43.05744,GeoNames,PPL,0
912,Iziumskii uezd,49.20875,37.24848,seat,ADM2,0
380,Liman',,,,PPL,0
528,Petrovskaia,46.82554,36.89309,GeoNames,PPL,0
568,Putiatino,,,,PPL,0
58,Bogoiavlenskaia,,,,PPL,0
953,Starobykhovskii uezd,53.521,30.2454,seat,ADM2,0
228,Zhuravichi,53.2319,30.5863,GeoNames,PPL,0
218,Eniseisk,58.44937,92.17968,GeoNames,PPL,0
804,Iash,,,,PPL,0
925,Lebedianskii uezd,53.01942,39.16639,seat,ADM2,0
376,Lebedian',53.01942,39.16639,GeoNames,PPL,0
1057,Serpukhovskii uezd,54.91578,37.41114,seat,ADM2,0
629,Serpukhov,54.91578,37.41114,GeoNames,PPL,0
910,Zvenigorodskii uezd,55.73402,36.85918,seat,ADM2,0
701,Troitskoe,56.2,36.71667,GeoNames,PPL,0
900,Verkhneudinskii uezd,51.833333,107.6,seat,ADM2,0
108,Verkhnii Udinsk,51.82721,107.60627,GeoNames,PPL,0
186,Demshinsk,52.11306,40.32167,GeoNames,PPL,0
230,Zamosh'e,60.0693,39.5481,GeoNames,PPL,0
