ID,attestedName,romanized_name,nameLanguage
440,Крылѣево,Kryleevo,Russian (Old Orthography)
441,Поводнево,Povodnevo,Russian (Old Orthography)
442,Лебединъ,"Lebedin""",Russian (Old Orthography)
443,Билярскъ,"Biliarsk""",Russian (Old Orthography)
444,Вышній Волочокъ,"Vyshnіi Volochok""",Russian (Old Orthography)
445,Новосиль,Novosil',Russian (Old Orthography)
446,Остеръ,"Oster""",Russian (Old Orthography)
447,Чухлома,Chukhloma,Russian (Old Orthography)
448,Атемаръ,"Atemar""",Russian (Old Orthography)
449,Понорница,Ponornitsa,Russian (Old Orthography)
450,Рубежная,Rubezhnaia,Russian (Old Orthography)
451,Сарбаево,Sarbaevo,Russian (Old Orthography)
452,Лежнево,Lezhnevo,Russian (Old Orthography)
453,Добрая,Dobraia,Russian (Old Orthography)
454,Бурецкой,Buretskoi,Russian (Old Orthography)
455,Сумы,Sumy,Russian (Old Orthography)
456,Котельничь,Kotel'nich',Russian (Old Orthography)
457,Германова,Germanova,Russian (Old Orthography)
458,Устюжна Желѣзопольская,Ustiuzhna Zhelezopol'skaia,Russian (Old Orthography)
459,Тешевской,Teshevskoi,Russian (Old Orthography)
460,Прели,Preli,Russian (Old Orthography)
461,Утѣшевъ,"Uteshev""",Russian (Old Orthography)
462,Машевъ,"Mashev""",Russian (Old Orthography)
463,Дѣдиловъ,"Dedilov""",Russian (Old Orthography)
464,Шкловъ,"Shklov""",Russian (Old Orthography)
465,Свіажскъ,"Svіazhsk""",Russian (Old Orthography)
466,Волынцы,Volyntsy,Russian (Old Orthography)
467,Олышаная,Olyshanaia,Russian (Old Orthography)
468,Лужки,Luzhki,Russian (Old Orthography)
469,Верховажской,Verkhovazhskoi,Russian (Old Orthography)
470,Ивановское,Ivanovskoe,Russian (Old Orthography)
471,Новые Млины,Novye Mliny,Russian (Old Orthography)
472,Соль-Галицкая,Sol'-Galitskaia,Russian (Old Orthography)
473,Одринъ Николаевской,"Odrin"" Nikolaevskoi",Russian (Old Orthography)
474,Туринскъ,"Turinsk""",Russian (Old Orthography)
475,Змѣтневъ,"Zmetnev""",Russian (Old Orthography)
476,Плоское,Ploskoe,Russian (Old Orthography)
477,Гадячь,Gadiach',Russian (Old Orthography)
478,Дорогобужъ,"Dorogobuzh""",Russian (Old Orthography)
479,Шулгинскъ,"Shulginsk""",Russian (Old Orthography)
480,Яранскъ,"Iaransk""",Russian (Old Orthography)
481,Погарь,Pogar',Russian (Old Orthography)
482,Хотень,Khoten',Russian (Old Orthography)
483,Боровскъ,"Borovsk""",Russian (Old Orthography)
484,Любечь,Liubech',Russian (Old Orthography)
485,Землянскъ,"Zemliansk""",Russian (Old Orthography)
486,Сольцо,Sol'tso,Russian (Old Orthography)
487,Кидешкино,Kideshkino,Russian (Old Orthography)
488,Наровчатъ,"Narovchat""",Russian (Old Orthography)
489,Авдулово,Avdulovo,Russian (Old Orthography)
490,Ивановское,Ivanovskoe,Russian (Old Orthography)
