ID,attestedName,romanizedName,nameLanguage
238,Острогожский уѣздѣ,Ostrogozhskii uiezdie,Russian (Old Orthography)
239,Перемышльский уѣздѣ,Peremyshl'skii uiezdie,Russian (Old Orthography)
240,Петровский уѣздѣ,Petrovskii uiezdie,Russian (Old Orthography)
241,Плесский уѣздѣ,Plesskii uiezdie,Russian (Old Orthography)
242,Путивльский уѣздѣ,Putivl'skii uiezdie,Russian (Old Orthography)
243,Рыбинский уѣздѣ,Rybinskii uiezdie,Russian (Old Orthography)
244,Рыльский уѣздѣ,Ryl'skii uiezdie,Russian (Old Orthography)
245,Ряжский уѣздѣ,Riazhskii uiezdie,Russian (Old Orthography)
246,Сергачский уѣздѣ,Sergachskii uiezdie,Russian (Old Orthography)
247,Сердовольский уѣздѣ,Serdovol'skii uiezdie,Russian (Old Orthography)
248,Сердобский уѣздѣ,Serdobskii uiezdie,Russian (Old Orthography)
249,Серпейский уѣздѣ,Serpeiskii uiezdie,Russian (Old Orthography)
250,Серпуховский уѣздѣ,Serpukhovskii uiezdie,Russian (Old Orthography)
251,Сольвычегодский уѣздѣ,Sol'vychegodskii uiezdie,Russian (Old Orthography)
252,Ставропольский уѣздѣ,Stavropol'skii uiezdie,Russian (Old Orthography)
253,Суджанский уѣздѣ,Sudzhanskii uiezdie,Russian (Old Orthography)
254,Севский уѣздѣ,Sevskii uiezdie,Russian (Old Orthography)
255,Тарусский уѣздѣ,Tarusskii uiezdie,Russian (Old Orthography)
256,Тихвинский уѣздѣ,Tikhvinskii uiezdie,Russian (Old Orthography)
257,Торопецкий уѣздѣ,Toropetskii uiezdie,Russian (Old Orthography)
258,Угличский уѣздѣ,Uglichskii uiezdie,Russian (Old Orthography)
259,Усть-Сысольский уѣздѣ,Ust'-Sysol'skii uiezdie,Russian (Old Orthography)
260,Великоустюгский уѣздѣ,Velikoustiugskii uiezdie,Russian (Old Orthography)
261,Фатежский уѣздѣ,Fatezhskii uiezdie,Russian (Old Orthography)
262,Феллинский уѣздѣ,Fellinskii uiezdie,Russian (Old Orthography)
263,Хвалынский уѣздѣ,Khvalynskii uiezdie,Russian (Old Orthography)
264,Херсонский уѣздѣ,Khersonskii uiezdie,Russian (Old Orthography)
265,Череповецкий уѣздѣ,Cherepovetskii uiezdie,Russian (Old Orthography)
266,Чугуевский уѣздѣ,Chuguevskii uiezdie,Russian (Old Orthography)
267,Ядринский уѣздѣ,Iadrinskii uiezdie,Russian (Old Orthography)
268,Никитский уѣздѣ,Nikitskii uiezdie,Russian (Old Orthography)
269,Подольский уѣздѣ,Podol'skii uiezdie,Russian (Old Orthography)
270,Клинский уеад,Klinskii uead,Russian (Old Orthography)
271,Шадринский уѣздѣ,Shadrinskii uiezdie,Russian (Old Orthography)
272,Спаский уѣздѣ,Spaskii uiezdie,Russian (Old Orthography)
273,Цывильский уѣздѣ,Tsyvil'skii uiezdie,Russian (Old Orthography)
274,Бельский уѣздѣ,Bel'skii uiezdie,Russian (Old Orthography)
275,Павлоградский уѣздѣ,Pavlogradskii uiezdie,Russian (Old Orthography)
276,Валковский уѣздѣ,Valkovskii uiezdie,Russian (Old Orthography)
277,Пореченский уѣздѣ,Porechenskii uiezdie,Russian (Old Orthography)
278,Вильманстрандский уѣздѣ,Vil'manstrandskii uiezdie,Russian (Old Orthography)
279,Городнянский уѣздѣ,Gorodnianskii uiezdie,Russian (Old Orthography)
280,Мологский уѣздѣ,Mologskii uiezdie,Russian (Old Orthography)
281,Борисоглебский уѣздѣ,Borisoglebskii uiezdie,Russian (Old Orthography)
282,Романовский уѣздѣ,Romanovskii uiezdie,Russian (Old Orthography)
283,Духовшчинский уѣздѣ,Dukhovshchinskii uiezdie,Russian (Old Orthography)
284,Дорогобужский уѣздѣ,Dorogobuzhskii uiezdie,Russian (Old Orthography)
285,Льговский уѣздѣ,L'govskii uiezdie,Russian (Old Orthography)
286,Тимский уѣздѣ,Timskii uiezdie,Russian (Old Orthography)
287,Шчигровский уѣздѣ,Shchigrovskii uiezdie,Russian (Old Orthography)
288,Усманский уѣздѣ,Usmanskii uiezdie,Russian (Old Orthography)
289,Кирсановский уѣздѣ,Kirsanovskii uiezdie,Russian (Old Orthography)
290,Починковский уѣздѣ,Pochinkovskii uiezdie,Russian (Old Orthography)
291,Лукояновский уѣздѣ,Lukoianovskii uiezdie,Russian (Old Orthography)
292,Княгининский уѣздѣ,Kniagininskii uiezdie,Russian (Old Orthography)
293,Балахнинский уѣздѣ,Balakhninskii uiezdie,Russian (Old Orthography)
294,Семёновский уѣздѣ,Semёnovskii uiezdie,Russian (Old Orthography)
295,Трубчевский уѣздѣ,Trubchevskii uiezdie,Russian (Old Orthography)
296,Черньский уѣздѣ,Chern'skii uiezdie,Russian (Old Orthography)
297,Скопинский уѣздѣ,Skopinskii uiezdie,Russian (Old Orthography)
298,Пронский уѣздѣ,Pronskii uiezdie,Russian (Old Orthography)
299,Старицкий уѣздѣ,Staritskii uiezdie,Russian (Old Orthography)
300,Слободский уѣздѣ,Slobodskii uiezdie,Russian (Old Orthography)
301,Яранский уѣздѣ,Iaranskii uiezdie,Russian (Old Orthography)
302,Туринский уѣздѣ,Turinskii uiezdie,Russian (Old Orthography)
303,Богатенский уѣздѣ,Bogatenskii uiezdie,Russian (Old Orthography)
304,Боровичский уѣздѣ,Borovichskii uiezdie,Russian (Old Orthography)
305,Валдайский уѣздѣ,Valdaiskii uiezdie,Russian (Old Orthography)
306,Березинский уѣздѣ,Berezinskii uiezdie,Russian (Old Orthography)
307,Березовский уѣздѣ,Berezovskii uiezdie,Russian (Old Orthography)
308,Вышневолоцкий уѣздѣ,Vyshnevolotskii uiezdie,Russian (Old Orthography)
309,Габзальский уѣздѣ,Gabzal'skii uiezdie,Russian (Old Orthography)
310,Гжатский уѣздѣ,Gzhatskii uiezdie,Russian (Old Orthography)
311,Елисаветградский уѣздѣ,Elisavetgradskii uiezdie,Russian (Old Orthography)
312,Зѣньковский уѣздѣ,Zien'kovskii uiezdie,Russian (Old Orthography)
313,Кирилловский уѣздѣ,Kirillovskii uiezdie,Russian (Old Orthography)
314,Малоархангельский уѣздѣ,Maloarkhangel'skii uiezdie,Russian (Old Orthography)
315,Малоярославецкий уѣздѣ,Maloiaroslavetskii uiezdie,Russian (Old Orthography)
316,Мангазейский уѣздѣ,Mangazeiskii uiezdie,Russian (Old Orthography)
317,Мглинский уѣздѣ,Mglinskii uiezdie,Russian (Old Orthography)
318,Нейшлотский уѣздѣ,Neishlotskii uiezdie,Russian (Old Orthography)
319,Переславль-Залесский уѣздѣ,Pereslavl'-Zalesskii uiezdie,Russian (Old Orthography)
320,Перновский уѣздѣ,Pernovskii uiezdie,Russian (Old Orthography)
321,Пудожский уѣздѣ,Pudozhskii uiezdie,Russian (Old Orthography)
322,Ржевский уѣздѣ,Rzhevskii uiezdie,Russian (Old Orthography)
323,Режицкий уѣздѣ,Rezhitskii uiezdie,Russian (Old Orthography)
324,Солигаличский уѣздѣ,Soligalichskii uiezdie,Russian (Old Orthography)
325,Старооскольский уѣздѣ,Starooskol'skii uiezdie,Russian (Old Orthography)
326,Устюженский уѣздѣ,Ustiuzhenskii uiezdie,Russian (Old Orthography)
327,Фридрихсгамский уѣздѣ,Fridrikhsgamskii uiezdie,Russian (Old Orthography)
328,Хоперский уѣздѣ,Khoperskii uiezdie,Russian (Old Orthography)
329,Далматовский уѣздѣ,Dalmatovskii uiezdie,Russian (Old Orthography)
330,Хотьмышский уѣздѣ,Khot'myshskii uiezdie,Russian (Old Orthography)
331,Чаусский уѣздѣ,Chausskii uiezdie,Russian (Old Orthography)
332,Чембарский уѣздѣ,Chembarskii uiezdie,Russian (Old Orthography)
333,Чердынский уѣздѣ,Cherdynskii uiezdie,Russian (Old Orthography)
334,Шишкеевский уѣздѣ,Shishkeevskii uiezdie,Russian (Old Orthography)
