ID,place,datum,sourceLink,startDate,endDate,confidence
161,498,161,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
162,499,162,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
163,500,163,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
164,501,164,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
165,502,165,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
166,503,166,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
167,504,167,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
168,505,168,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
169,506,169,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
170,507,170,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
171,508,171,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
172,509,172,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
173,510,173,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
174,511,174,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
175,512,175,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
176,513,176,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
177,514,177,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
178,515,178,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
179,516,179,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
180,517,180,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
181,518,181,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
182,519,182,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
183,520,183,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
184,521,184,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
185,522,185,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
186,523,186,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
187,524,187,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
188,525,188,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
189,526,189,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
190,527,190,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
191,528,191,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
192,529,192,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
193,530,193,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
194,531,194,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
195,532,195,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
196,533,196,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
197,534,197,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
198,535,198,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
199,536,199,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
200,537,200,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
201,538,201,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
202,539,202,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
203,540,203,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
204,541,204,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
205,542,205,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
206,543,206,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
207,544,207,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
208,545,208,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
209,546,209,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
210,547,210,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
211,548,211,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
212,549,212,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
213,550,213,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
214,551,214,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
215,552,215,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
216,553,216,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
217,554,217,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
218,556,218,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
219,557,219,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
220,558,220,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
221,559,221,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
222,560,222,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
223,561,223,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
224,562,224,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
225,563,225,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
226,564,226,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
227,565,227,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
