ID,title,reprLong,reprLat,reprType
345,Saratov,46,51.533333,point
346,Sinbirsk,48.366667,54.316667,point
347,Smolensk,32.045278,54.782778,point
348,Tambov,41.433333,52.716667,point
349,Tver',35.921928,56.857828,point
350,Tobol'sk,68.258056,58.195278,point
351,Tula,37.61822,54.19609,point
352,Alatyr',46.5813,54.8421,point
353,Aleksin,37.0674,54.50503,point
354,Arzamas,43.83992,55.39485,point
355,Akhtyrka,34.89879,50.31036,point
356,Bezhetsk,36.69651,57.78506,point
357,Belgorod,36.58015,50.61074,point
358,Belozersk,37.8084,60.0288,point
359,Valuiki,38.1067,50.2035,point
360,Venev,38.26843,54.35533,point
361,Vereia,36.17194,55.34472,point
362,Verkhnii Udinsk,107.6,51.833333,point
363,Volokolamsk,35.96944,56.03361,point
364,Gadiach',33.99099,50.37112,point
365,Gorokhovets,42.69351,56.20152,point
366,Dinaburg,26.53333,55.88333,point
367,Dmitrov,37.52041,56.34485,point
368,Donkov,39.15553,53.25155,point
369,Elets,38.50169,52.62366,point
370,Epifan',38.55181,53.82526,point
371,Zaraisk,38.87841,54.7605,point
372,Zvenigorod,36.85918,55.73402,point
373,Zubtsov,34.58935,56.17534,point
374,Izium,37.24848,49.20875,point
375,Kasimov,41.39528,54.94111,point
376,Kashin,37.60806,57.35917,point
377,Koshira,38.16694,54.84444,point
378,Kerensk,43.05744,53.69157,point
379,Kineshma,42.12894,57.43914,point
380,Kirensk,108.11194,57.78528,point
381,Kozel'sk,35.77159,54.03746,point
382,Kolomna,38.77833,55.07944,point
383,Karocha,37.18598,50.8132,point
384,Krasnoslobodsk,43.78963,54.4253,point
385,Livny,37.60689,52.42534,point
386,Liubim,40.68433,58.3625,point
387,Mirgorod,33.60886,49.96854,point
388,Miropol'e,35.26233,51.023,point
389,Mozhaisk,36.02722,55.50194,point
390,Mstislavl',31.7217,54.0185,point
391,Narovchat,43.69458,53.87654,point
392,Novosil',37.04048,52.97387,point
393,Nezhin,31.88688,51.04801,point
394,Ostrov,28.35368,57.34395,point
395,Pereiaslavl',31.4795,50.08768,point
396,Petrovsk,39.26928,57.01039,point
397,Piriatin,32.50621,50.24242,point
398,Poshekhon',39.13531,58.49928,point
399,Rogachev,30.0495,53.0934,point
400,Rostov,39.41394,57.1914,point
401,Ruza,36.19522,55.69898,point
402,Sviazhsk,48.66051,55.77329,point
403,Staroi Bykhov,30.2454,53.521,point
404,Suzdal',40.44668,56.42274,point
405,Temnikov,43.21483,54.63023,point
406,Cheliabinsk,61.42915,55.15402,point
407,Cherikov,31.3831,53.5689,point
408,Chukhloma,42.68318,58.75375,point
409,Iur'evets Povolgskii,43.1041,57.32007,point
410,Iarensk,49.09162,62.16755,point
411,Anaevo,42.5668,54.2354,point
412,Atemar,45.40909,54.18097,point
413,Atkarsk,45.00775,51.87185,point
414,Baryshevka,31.32173,50.36098,point
415,Baturin,32.87794,51.34567,point
416,Berezniki,46.6978,51.74309,point
417,Biliarsk,50.38671,54.98358,point
418,Birzha,25.77221,56.4063,point
419,Bobrovitsa,31.3948,50.74693,point
420,Bogodukhov,35.52765,50.16466,point
421,Borzna,32.4269,51.25464,point
422,Borisoglebsk,42.08494,51.36713,point
423,Borispol',30.95501,50.35269,point
424,Borovenki,38.56367,49.04796,point
425,Bronnitsy,38.26188,55.42112,point
426,Briansk,34.37167,53.25209,point
427,Buchalki,38.77664,53.7559,point
428,Belaia Kolp',35.66459,56.09183,point
429,Belopol'e,34.31287,51.15016,point
430,Varva,32.71968,50.49503,point
431,Vashka,45.7464,64.8827,point
432,Veidelevka,38.4492,50.1521,point
433,Velizh,31.19673,55.60564,point
434,Venden,25.27456,57.31188,point
435,Vesiegonsk,37.2604,58.66398,point
436,Volmar,25.42751,57.54108,point
437,Voronezh,33.45944,51.77572,point
438,Voronkov,30.89967,50.22235,point
439,Vrev,28.84938,57.20557,point
440,Viazniki,42.15563,56.24057,point
441,Gdov,27.81977,58.74424,point
442,Glinsk,32.89946,48.95619,point
443,Gogolev,31.02241,50.51864,point
444,Goltva,33.85422,49.4202,point
445,Gorbatov,43.06363,56.1311,point
446,Goroshin,32.73911,49.6548,point
447,Gremiachev,38.6607,54.13149,point
448,Gritchino,38.10556,54.60417,point
449,Griaznoe,39.1179,54.0418,point
450,Griazovets,40.2525,58.88,point
451,Dagda,27.53723,56.09512,point
452,Dvurechnaia,37.68262,49.85019,point
453,Deimanovka,32.62939,50.214,point
454,Dobraia,37.7,52.73333,point
455,Dushatin,32.27371,53.06666,point
456,Dedinovo,39.127,55.05594,point
457,Elatma,41.75083,54.9675,point
458,Elna,33.18373,54.57864,point
459,Zhigansk,123.37418,66.76601,point
460,Zhizdra,34.73951,53.74596,point
461,Zadushnoe,36.98756,52.98556,point
462,Zamosh'e,39.5481,60.0693,point
463,Zashiversk,142.61667,67.45,point
464,Zemliansk,38.7334,51.9041,point
465,Zmetnev,32.72819,51.5804,point
466,Zolotonosha,32.04047,49.66832,point
467,Isa,48.3,48.6,point
468,Kaliberda,33.70805,48.96564,point
469,Kalinkino,37.73333,56.71667,point
470,Kamyshnia,33.68269,50.18359,point
471,Kesova Gora,37.29222,57.58361,point
472,Kimry,37.35,56.86667,point
473,Kister,33.10627,52.40773,point
474,Kovrov,41.31917,56.35722,point
475,Kozelets,31.1214,50.91334,point
476,Korsun',46.9827,54.19941,point
477,Kotel'va,34.75862,50.06864,point
478,Kotel'nich',48.348,58.3089,point
479,Kochelaevo,44.04707,54.01948,point
480,Krapivna,37.15744,53.94234,point
481,Krapivna,32.16478,49.63637,point
482,Krasnoborsk,45.93396,61.55978,point
483,Krasnokutsk,35.16275,50.06602,point
484,Krasnopol'e,35.25965,50.77458,point
485,Kromy,35.76665,52.68762,point
486,Krylov,33.24106,49.04894,point
487,Kubenskoe,39.66913,59.43387,point
488,Kuznetsk,46.60037,53.11675,point
489,Kuren'ki,32.74462,50.21186,point
490,Lazovitsa,32.0163,53.5617,point
491,Laishev,49.55037,55.40464,point
492,Lal'sk,47.58617,60.74146,point
493,Lipetsk,39.57076,52.60311,point
494,Likhvin,36.24499,54.09685,point
495,Lokhvitsa,33.26024,50.36776,point
496,Liubech',30.65692,51.7026,point
497,Liutenka,34.0367,50.21084,point
498,Makar'ev,45.06291,56.08367,point
499,Vytegra,36.44811,61.00636,point
500,Lebedin,34.4849,50.58518,point
501,Sapozhok,40.68056,53.94194,point
502,Derpt,26.72509,58.38062,point
503,Korotoiak,39.17677,50.98665,point
504,Bogorodsk,38.45,55.85,point
505,Voskresensk,36.86867,55.91997,point
506,Efremov,38.09924,53.14806,point
507,Borovsk,36.48611,55.20639,point
508,Opochka,28.66174,56.71048,point
509,Iur'ev Pol'skii,39.67911,56.50339,point
510,Sumy,34.80029,50.9216,point
511,Lukh,42.25838,57.01242,point
512,Staraia Ruza,31.36081,57.99439,point
513,Insara,44.37382,53.86531,point
514,Shuia,41.38833,56.84865,point
515,Bobrovskoe,64.16392,57.50211,point
516,Bogoroditsk,38.12408,53.77166,point
517,Boriatino,35.55015,54.34461,point
518,Irbit,63.071,57.67052,point
519,Ladoga Novaia,32.30191,60.10246,point
520,Makar'ev,43.8049,57.88501,point
521,Makhonovo,39.7671,52.90838,point
522,Maiaki,37.62433,48.946,point
523,Medyn',35.85861,54.96917,point
524,Mena,32.21568,51.5217,point
525,Meshchovsk,35.28083,54.32444,point
526,Miloslavichi,32.253,53.6882,point
527,Mirotino,37.70476,54.63291,point
528,Mitiakinskaia,39.7831,48.6104,point
529,Mikhailov,39.0269,54.2298,point
530,Mishurin Rog,33.94792,48.81817,point
531,Molvitino,41.59483,58.14881,point
532,Monastyrshchina,31.83795,54.34961,point
533,Morshansk,41.81065,53.44354,point
534,Mosal'sk,34.98167,54.48806,point
535,Mostki,38.47943,49.34553,point
