ID,place,classification,sourceLink,startDate,endDate,confidence
102,102,102,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
103,103,103,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
104,104,104,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
105,105,105,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
106,106,106,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
107,107,107,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
108,108,108,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
109,109,109,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
110,110,110,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
111,111,111,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
112,112,112,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
113,113,113,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
114,114,114,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
115,115,115,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
116,116,116,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
117,117,117,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
118,118,118,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
119,119,119,https://www.zotero.org/jaguillette/items/collectionKey/3KQ5I42Q/itemKey/3S433JSV,1785,1796,confident
